언어·문학,국어국문학과,동양어학과,서양어학과,영어영문학과,통번역학과
인문과학,고고학과,문헌정보학과,문화재보존학과,문화콘텐츠학과,사학과,심리학과,인류학과,철학과
상경,경영학과,경제학과,금융보험학과,무역·유통학과,세무·회계학과,호텔·관광경영학과
광고언론정보,광고홍보학과,언론정보학과,정보미디어학과
사회과학,사회학과,사회복지학과,아동학과,지리학과,항공서비스학과
법행정,국제학과,법학과,보건행정학과,정치외교학과,행정학과
자연과학,대기과학과,물리학과,생명과학과,수학과,지질학과,천문학과,통계학과,화학과
생활과학,식품영양학과,의류학과
농림,농생물학과,동물자원학과,원예학과,조경학과
기계전자,기계공학과,기계설계공학과,자동차공학과,전기공학과,전자공학과,제어계측공학과,항공우주공학과,항공운항학과
정보컴퓨터,멀티미디어학과,소프트웨어학과,정보통신공학과,컴퓨터공학과
건축·환경,건축공학과,건축학과,교통공학과,도시공학과,토목공학과,해양공학과,환경공학과
화학생명,생명공학과,섬유공학과,식품공학과,신소재공학과,에너지자원공학과,재료공학과,화장품과학과,화학공학과
보건,간호학과,물리치료학과,응급구조학과,임상병리학과,재활치료학과,치기공학과,치위생학과
의학,수의학과,의예과,치의예과,한의예과,약학과
교육,언어교과교육과,사회교과교육과,수학교육과,과학교과교육과,교육학과,초등교육과,유아교육과
융복합,인공지능학과,빅데이터학과,미래자동차(모빌리티)학과,정보보안학과,융합학과